City,Neighborhood,Real Cases,Number of predictions,Lags,Days to predict,Period Value,RMSE,Hits
Buga,FUENMAYOR,3,0,200,10,190,0.7071067811865476,0.0
Buga,FUENMAYOR,3,0,200,10,193,0.7071067811865476,0.0
Buga,FUENMAYOR,3,4,200,10,196,0.7071067811865476,1.0
Buga,FUENMAYOR,3,1,200,10,199,0.7745966692414834,0.0
Buga,FUENMAYOR,3,1,200,10,202,0.7745966692414834,0.0
Buga,FUENMAYOR,3,2,200,10,205,0.31622776601683794,2.0
Buga,FUENMAYOR,3,1,200,10,208,0.7745966692414834,0.0
Buga,FUENMAYOR,3,1,200,10,211,0.7745966692414834,0.0
Buga,FUENMAYOR,3,0,200,10,214,0.7071067811865476,0.0
Buga,FUENMAYOR,3,0,200,10,217,0.7071067811865476,0.0
Buga,FUENMAYOR,3,2,200,10,220,0.8366600265340756,0.0
Buga,FUENMAYOR,3,2,200,10,223,0.8366600265340756,0.0
Buga,FUENMAYOR,3,5,200,10,226,0.8944271909999159,1.0
Buga,FUENMAYOR,3,0,200,10,229,0.7071067811865476,0.0
Buga,FUENMAYOR,3,2,200,10,232,0.8366600265340756,0.0
Buga,FUENMAYOR,3,1,200,10,235,0.7745966692414834,0.0
Buga,FUENMAYOR,3,3,200,10,238,0.6324555320336759,1.0
Buga,FUENMAYOR,3,1,200,10,241,0.7745966692414834,0.0
Buga,FUENMAYOR,3,0,200,10,244,0.7071067811865476,0.0
Buga,FUENMAYOR,3,3,200,10,247,0.6324555320336759,1.0
Buga,FUENMAYOR,3,1,200,10,250,0.7745966692414834,0.0
Buga,FUENMAYOR,3,10,200,10,253,1.0954451150103321,2.0
Buga,FUENMAYOR,3,10,200,10,256,0.9486832980505138,2.0
Buga,FUENMAYOR,3,1,200,10,259,0.7745966692414834,0.0
Buga,FUENMAYOR,3,2,200,10,262,0.8366600265340756,0.0
Buga,FUENMAYOR,3,4,200,10,265,0.7071067811865476,1.0
Buga,FUENMAYOR,3,8,200,10,268,1.0488088481701516,1.0
Buga,FUENMAYOR,3,0,200,10,271,0.7071067811865476,0.0
Buga,FUENMAYOR,3,2,200,10,274,0.8366600265340756,0.0
Buga,FUENMAYOR,3,7,200,10,277,1.0,1.0
Buga,FUENMAYOR,3,1,200,10,280,0.7745966692414834,0.0
Buga,FUENMAYOR,3,10,200,10,283,1.7320508075688772,2.0
Buga,FUENMAYOR,3,5,200,10,286,0.7745966692414834,1.0
Buga,FUENMAYOR,3,4,200,10,289,0.9486832980505138,0.0
Buga,FUENMAYOR,3,4,200,10,292,0.5477225575051661,2.0
Buga,FUENMAYOR,3,1,200,10,295,0.7745966692414834,0.0
Buga,FUENMAYOR,3,0,200,10,298,0.7071067811865476,0.0
Buga,FUENMAYOR,3,2,200,10,301,0.8366600265340756,0.0
Buga,FUENMAYOR,3,1,200,10,304,0.7745966692414834,0.0
Buga,FUENMAYOR,3,6,200,10,307,0.8366600265340756,1.0
Buga,FUENMAYOR,3,2,200,10,310,0.8366600265340756,0.0
Buga,FUENMAYOR,3,3,200,10,313,0.6324555320336759,1.0
Buga,FUENMAYOR,3,4,200,10,316,0.8366600265340756,1.0
