City,Neighborhood,Real Cases,Number of predictions,Lags,Days to predict,Period Value,RMSE,Hits
Giron,EL POBLADO,0,5,200,10,190,0.7071067811865476,0
Giron,EL POBLADO,0,5,200,10,193,0.7071067811865476,0
Giron,EL POBLADO,0,3,200,10,196,0.5477225575051661,0
Giron,EL POBLADO,0,2,200,10,199,0.4472135954999579,0
Giron,EL POBLADO,0,10,200,10,202,1.378404875209022,0
Giron,EL POBLADO,0,10,200,10,205,1.378404875209022,0
Giron,EL POBLADO,0,10,200,10,208,1.4832396974191326,0
Giron,EL POBLADO,0,10,200,10,211,1.4832396974191326,0
Giron,EL POBLADO,0,10,200,10,214,1.2649110640673518,0
Giron,EL POBLADO,0,9,200,10,217,1.224744871391589,0
Giron,EL POBLADO,0,8,200,10,220,1.0488088481701516,0
Giron,EL POBLADO,0,8,200,10,223,1.0488088481701516,0
Giron,EL POBLADO,0,9,200,10,226,1.224744871391589,0
Giron,EL POBLADO,0,9,200,10,229,1.224744871391589,0
Giron,EL POBLADO,0,10,200,10,232,1.2649110640673518,0
Giron,EL POBLADO,0,8,200,10,235,1.1832159566199232,0
Giron,EL POBLADO,0,9,200,10,238,1.224744871391589,0
Giron,EL POBLADO,0,9,200,10,241,1.224744871391589,0
Giron,EL POBLADO,0,9,200,10,244,1.3416407864998738,0
Giron,EL POBLADO,0,9,200,10,247,1.224744871391589,0
Giron,EL POBLADO,0,7,200,10,250,1.0,0
Giron,EL POBLADO,0,8,200,10,253,0.8944271909999159,0
Giron,EL POBLADO,0,7,200,10,256,0.8366600265340756,0
Giron,EL POBLADO,0,7,200,10,259,0.8366600265340756,0
Giron,EL POBLADO,0,8,200,10,262,0.8944271909999159,0
Giron,EL POBLADO,0,8,200,10,265,1.3038404810405297,0
Giron,EL POBLADO,0,8,200,10,268,1.0488088481701516,0
Giron,EL POBLADO,0,8,200,10,271,1.3038404810405297,0
Giron,EL POBLADO,0,8,200,10,274,1.3038404810405297,0
Giron,EL POBLADO,0,8,200,10,277,1.0488088481701516,0
Giron,EL POBLADO,0,8,200,10,280,0.8944271909999159,0
Giron,EL POBLADO,0,7,200,10,283,0.8366600265340756,0
Giron,EL POBLADO,0,6,200,10,286,0.7745966692414834,0
Giron,EL POBLADO,0,7,200,10,289,0.8366600265340756,0
Giron,EL POBLADO,0,7,200,10,292,0.8366600265340756,0
Giron,EL POBLADO,0,5,200,10,295,0.7071067811865476,0
Giron,EL POBLADO,0,5,200,10,298,0.7071067811865476,0
Giron,EL POBLADO,0,6,200,10,301,0.7745966692414834,0
Giron,EL POBLADO,0,6,200,10,304,0.7745966692414834,0
