City,Neighborhood,Real Cases,Number of predictions,Lags,Days to predict,Period Value,RMSE,Hits
Yopal,ESPERANZA,0,4,200,10,190,0.6324555320336759,0
Yopal,ESPERANZA,0,1,200,10,193,0.31622776601683794,0
Yopal,ESPERANZA,0,6,200,10,196,0.7745966692414834,0
Yopal,ESPERANZA,0,3,200,10,199,0.5477225575051661,0
Yopal,ESPERANZA,0,4,200,10,202,0.6324555320336759,0
Yopal,ESPERANZA,0,1,200,10,205,0.31622776601683794,0
Yopal,ESPERANZA,0,3,200,10,208,0.5477225575051661,0
Yopal,ESPERANZA,0,6,200,10,211,0.7745966692414834,0
Yopal,ESPERANZA,0,5,200,10,214,0.7071067811865476,0
Yopal,ESPERANZA,0,2,200,10,217,0.4472135954999579,0
Yopal,ESPERANZA,0,2,200,10,220,0.4472135954999579,0
Yopal,ESPERANZA,0,3,200,10,223,0.5477225575051661,0
Yopal,ESPERANZA,0,1,200,10,226,0.31622776601683794,0
Yopal,ESPERANZA,0,1,200,10,229,0.31622776601683794,0
Yopal,ESPERANZA,0,6,200,10,232,0.7745966692414834,0
Yopal,ESPERANZA,0,4,200,10,235,0.6324555320336759,0
Yopal,ESPERANZA,0,3,200,10,238,0.5477225575051661,0
Yopal,ESPERANZA,0,3,200,10,241,0.5477225575051661,0
Yopal,ESPERANZA,0,5,200,10,244,0.7071067811865476,0
Yopal,ESPERANZA,0,5,200,10,247,0.7071067811865476,0
Yopal,ESPERANZA,0,2,200,10,250,0.4472135954999579,0
Yopal,ESPERANZA,0,10,200,10,253,2.0,0
Yopal,ESPERANZA,0,8,200,10,256,0.8944271909999159,0
Yopal,ESPERANZA,0,10,200,10,259,1.2649110640673518,0
Yopal,ESPERANZA,0,6,200,10,262,0.7745966692414834,0
Yopal,ESPERANZA,0,7,200,10,265,0.8366600265340756,0
Yopal,ESPERANZA,0,3,200,10,268,0.5477225575051661,0
Yopal,ESPERANZA,0,5,200,10,271,0.7071067811865476,0
Yopal,ESPERANZA,0,6,200,10,274,0.7745966692414834,0
Yopal,ESPERANZA,0,4,200,10,277,0.6324555320336759,0
Yopal,ESPERANZA,0,6,200,10,280,0.7745966692414834,0
Yopal,ESPERANZA,0,10,200,10,283,1.0,0
Yopal,ESPERANZA,0,0,200,10,286,0.0,0
Yopal,ESPERANZA,0,2,200,10,289,0.4472135954999579,0
Yopal,ESPERANZA,0,10,200,10,292,1.2649110640673518,0
Yopal,ESPERANZA,0,1,200,10,295,0.31622776601683794,0
Yopal,ESPERANZA,0,0,200,10,298,0.0,0
Yopal,ESPERANZA,0,10,200,10,301,1.2649110640673518,0
Yopal,ESPERANZA,0,1,200,10,304,0.31622776601683794,0
Yopal,ESPERANZA,0,7,200,10,307,1.0,0
Yopal,ESPERANZA,0,10,200,10,310,1.6733200530681511,0
Yopal,ESPERANZA,0,8,200,10,313,0.8944271909999159,0
Yopal,ESPERANZA,0,3,200,10,316,0.5477225575051661,0
Yopal,ESPERANZA,0,4,200,10,319,0.6324555320336759,0
Yopal,ESPERANZA,0,2,200,10,322,0.4472135954999579,0
Yopal,ESPERANZA,0,4,200,10,325,0.6324555320336759,0
Yopal,ESPERANZA,0,1,200,10,328,0.31622776601683794,0
Yopal,ESPERANZA,0,7,200,10,331,0.8366600265340756,0
Yopal,ESPERANZA,0,6,200,10,334,0.7745966692414834,0
Yopal,ESPERANZA,0,3,200,10,337,0.5477225575051661,0
Yopal,ESPERANZA,0,2,200,10,340,0.4472135954999579,0
Yopal,ESPERANZA,0,3,200,10,343,0.5477225575051661,0
Yopal,ESPERANZA,0,2,200,10,346,0.4472135954999579,0
Yopal,ESPERANZA,0,4,200,10,349,0.6324555320336759,0
Yopal,ESPERANZA,0,8,200,10,352,0.8944271909999159,0
Yopal,ESPERANZA,0,9,200,10,355,0.9486832980505138,0
Yopal,ESPERANZA,0,9,200,10,358,0.9486832980505138,0
Yopal,ESPERANZA,0,7,200,10,361,0.8366600265340756,0
Yopal,ESPERANZA,0,5,200,10,364,0.7071067811865476,0
Yopal,ESPERANZA,0,5,200,10,367,0.7071067811865476,0
Yopal,ESPERANZA,0,8,200,10,370,0.8944271909999159,0
Yopal,ESPERANZA,0,7,200,10,373,0.8366600265340756,0
Yopal,ESPERANZA,0,7,200,10,376,0.8366600265340756,0
Yopal,ESPERANZA,0,7,200,10,379,0.8366600265340756,0
Yopal,ESPERANZA,0,7,200,10,382,0.8366600265340756,0
Yopal,ESPERANZA,0,7,200,10,385,0.8366600265340756,0
Yopal,ESPERANZA,0,9,200,10,388,1.224744871391589,0
Yopal,ESPERANZA,0,2,200,10,391,0.4472135954999579,0
Yopal,ESPERANZA,0,7,200,10,394,1.2649110640673518,0
Yopal,ESPERANZA,0,6,200,10,397,0.7745966692414834,0
Yopal,ESPERANZA,0,4,200,10,400,0.8366600265340756,0
Yopal,ESPERANZA,0,9,200,10,403,0.9486832980505138,0
Yopal,ESPERANZA,0,6,200,10,406,1.0954451150103321,0
Yopal,ESPERANZA,0,9,200,10,409,1.224744871391589,0
Yopal,ESPERANZA,0,4,200,10,412,0.6324555320336759,0
Yopal,ESPERANZA,0,6,200,10,415,0.7745966692414834,0
Yopal,ESPERANZA,0,10,200,10,418,2.0,0
Yopal,ESPERANZA,0,4,200,10,421,0.6324555320336759,0
Yopal,ESPERANZA,0,8,200,10,424,1.0488088481701516,0
Yopal,ESPERANZA,0,0,200,10,427,0.0,0
Yopal,ESPERANZA,0,10,200,10,430,1.0,0
Yopal,ESPERANZA,0,9,200,10,433,0.9486832980505138,0
Yopal,ESPERANZA,0,8,200,10,436,0.8944271909999159,0
Yopal,ESPERANZA,0,4,200,10,439,0.6324555320336759,0
Yopal,ESPERANZA,0,3,200,10,442,0.5477225575051661,0
Yopal,ESPERANZA,0,3,200,10,445,0.7745966692414834,0
Yopal,ESPERANZA,0,9,200,10,448,0.9486832980505138,0
Yopal,ESPERANZA,0,2,200,10,451,0.4472135954999579,0
Yopal,ESPERANZA,0,2,200,10,454,0.4472135954999579,0
Yopal,ESPERANZA,0,4,200,10,457,0.6324555320336759,0
Yopal,ESPERANZA,0,7,200,10,460,1.140175425099138,0
